"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.core.edit.line.DeleteLine "".\examples\unittests\mypackage\Example.java"":9 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.core.edit.line.DeleteLine "".\examples\unittests\mypackage\Example.java"":10 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.core.edit.line.DeleteLine "".\examples\unittests\mypackage\Example.java"":11 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","false","0","0","false","java.lang.reflect.InvocationTargetException",,"N/A","N/A","false","1"
"4","1","| gin.core.edit.line.DeleteLine "".\examples\unittests\mypackage\Example.java"":12 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","false","0","0","false","java.lang.reflect.InvocationTargetException",,"N/A","N/A","false","1"
"5","1","| gin.core.edit.line.DeleteLine "".\examples\unittests\mypackage\Example.java"":13 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"6","1","| gin.core.edit.line.DeleteLine "".\examples\unittests\mypackage\Example.java"":14 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"7","1","| gin.core.edit.statement.DeleteStatement "".\examples\unittests\mypackage\Example.java"":14 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"8","1","| gin.core.edit.statement.DeleteStatement "".\examples\unittests\mypackage\Example.java"":15 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"9","1","| gin.core.edit.statement.DeleteStatement "".\examples\unittests\mypackage\Example.java"":21 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","false","0","0","false","java.lang.reflect.InvocationTargetException",,"N/A","N/A","false","1"
"10","1","| gin.core.edit.statement.DeleteStatement "".\examples\unittests\mypackage\Example.java"":26 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","true","false","0","0","false","java.lang.reflect.InvocationTargetException",,"N/A","N/A","false","1"
"11","1","| gin.core.edit.statement.DeleteStatement "".\examples\unittests\mypackage\Example.java"":31 |","1","1","mypackage.ExampleTest.testReturnTen []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
